Fecha,Conductividad,Carga motor (M014),Carga motor (M015),Ind.Presión (PI8026),Ind.Presión (PIC8025),Ind.Temperatura (TI8015),Ind.Temperatura (TIC8014),Estado
2016-01-18 08:00:00,4.2,69.7100942,38.8808006,18.18447,18.5,82.3925985,100.0183303,0.0
2016-01-18 10:00:00,4.5,69.7428549,39.2626426,18.0394608,18.5,82.550326,99.4519775,0.0
2016-01-18 12:00:00,4.7,69.6234719,39.1099913,17.8352965,18.5,82.146121,99.667776,0.0
2016-01-18 14:00:00,5.3,69.8734235,39.1179092,17.7008841,18.5,83.0278157,100.2042692,0.0
2016-01-18 16:00:00,4.9,69.7147525,39.4027628,17.8198485,18.5,83.5973201,99.4485134,0.0
2016-01-18 18:00:00,4.7,66.1192336,39.4024678,17.9616133,18.5,80.9786619,99.6301678,0.0
2016-01-18 20:00:00,4.2,70.2834658,39.7802075,18.0837615,18.5,83.394101,99.7443404,0.0
2016-01-18 22:00:00,4.3,69.8341431,40.577396,18.1940264,18.5,82.854266,100.0532618,0.0
2016-01-19 00:00:00,3.9,70.0369811,40.4186681,18.2783608,18.5,82.0337155,100.7462639,0.0
2016-01-19 02:00:00,3.6,71.2125419,42.4958765,18.269085,18.5,85.3489546,100.8789714,0.0
2016-01-19 04:00:00,3.5,70.3959986,42.611925,18.2507886,18.5,84.6889172,100.2472836,0.0
2016-01-19 06:00:00,3.6,70.6606753,41.4880553,18.1954643,18.5,83.7809739,100.3858762,0.0
2016-01-19 08:00:00,4.2,70.3571825,41.4734769,18.1178789,18.5,85.4088855,99.5151296,0.0
2016-01-19 10:00:00,4.1,69.9334976,41.3565125,18.023861,18.5,83.0105144,100.5375084,0.0
2016-01-19 12:00:00,4.8,69.9251067,41.3577294,17.870892,18.5,83.3831788,99.7696207,0.0
2016-01-19 14:00:00,5.1,69.7055022,41.8404669,17.7150847,18.5,83.8852837,99.9317011,0.0
2016-01-19 16:00:00,4.8,69.6561747,41.9978963,17.7151393,18.5,84.1458403,100.0120963,0.0
